carrera,materia,comision,dia,hora_inicio,hora_fin,tipo,aula,docente
LSI,Fundamentos de la Programación,Com 1,Miércoles,10:00,12:00,Teoría,Aula 30 - Pab. Reforma del 18,Prof. Carmen Silva
LSI,Fundamentos de la Programación,Com 1,Miércoles,8:00,10:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Dahia Cejas
LSI,Fundamentos de la Programación,Com 1,Jueves,8:00,10:00,Taller,Lab. Alfa - Pab. Laboratorios N°2,Prof. Dahia Cejas
LSI,Fundamentos de la Programación,Com 1.2,Lunes,10:30,12:30,Taller,Lab. Gama - Pab. Laboratorios N°2,Prof. Martín Palavecino
LSI,Fundamentos de la Programación,Com 2,Lunes,15:30,17:30,Teoría,Aula 22 - Pab. Reforma del 18,Prof. Carmen Silva
LSI,Fundamentos de la Programación,Com 2,Lunes,18:00,20:00,Práctica,Aula 27 - Pab. Reforma del 18,Prof. Walter Toledo
LSI,Fundamentos de la Programación,Com 2.1,Viernes,16:00,18:00,Taller,Lab. Alfa - Pab. Laboratorios N°2,Prof. Walter Toledo
LSI,Fundamentos de la Programación,Com 2.2,Viernes,16:00,18:00,Taller,Lab. Gama - Pab. Laboratorios N°2,Prof. Martín Palavecino
LSI,Fundamentos de la Programación,Com 3,Miércoles,19:00,21:00,Teoría,Aula 23 - Pab. Reforma del 18,Prof. Irene Salazar
LSI,Fundamentos de la Programación,Com 3,Miércoles,17:00,19:00,Práctica,Aula 30 - Pab. Reforma del 18,Ing. Aldo Roldán
LSI,Fundamentos de la Programación,Com 3,Jueves,19:00,21:00,Taller,Lab. Alfa - Pab. Laboratorios N°2,Ing. Aldo Roldán
LSI,Álgebra I (Anual),Com Mañana,Martes,8:00,10:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. M.Espindola
LSI,Álgebra I (Anual),Com Mañana,Viernes,8:00,10:00,Teórica,Aula 23 - Pab. Reforma del 18,Prof. Grabiela Robles
LSI,Álgebra I (Anual),Com Tarde,Martes,17:00,19:00,Teórica,Aula 16 - Pab. Reforma del 18,Lic. Pablo Zurita
LSI,Álgebra I (Anual),Com Tarde,Jueves,17:00,19:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. M.Espindola
LSI,Análisis I (Anual),Com 1,Martes,10:00,12:00,Teórica,Aula 23 - Pab. Reforma del 18,Ing. Pablo Saracho / Lic. Lidia de Pablo
LSI,Análisis I (Anual),Com 1,Viernes,10:00,12:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Viviana Yanuci
LSI,Análisis I (Anual),Com 2,Viernes,14:00,16:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Viviana Yanuci
LSI,Análisis I (Anual),Com 2,Martes,19:00,21:00,Práctica,Aula 16 - Pab. Reforma del 18,Lic. Lidia de Pablo / Prof. Diego Coria
LSI,Inglés I,Com 1,Lunes,10:00,12:00,Teórico-Práctica,Aula 28 - Pab. Reforma del 18,Prof. Adriana Macedo
LSI,Inglés I,Com 1,Miércoles,8:00,10:00,Teórico-Práctica,Aula 29 - Pab. Reforma del 18,Prof. Adriana Macedo
LSI,Inglés I,Com 2,Lunes,16:30,18:00,Teórico-Práctica,Aula 26 - Pab. Reforma del 18,Prof. Verónica Billordo
LSI,Inglés I,Com 2,Martes,12:00,14:00,Teórico-Práctica,Aula 24 - Pab. Reforma del 18,Prof. Adriana Macedo
LSI,Lógica I,Com 1,Lunes,8:00,10:00,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,Dr. Budán / Prof. Villarreal / Prof. Valdez
LSI,Lógica I,Com 1,Jueves,10:00,12:00,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,Dr. Budán / Prof. Villarreal / Prof. Valdez
LSI,Lógica I,Com 2,Martes,15:00,17:00,Teórico-Práctica,Aula 28 - Pab. Reforma del 18,Dr. Budán / Prof. Villarreal / Prof. Valdez
LSI,Lógica I,Com 2,Jueves,15:00,17:00,Teórico-Práctica,Aula 28 - Pab. Reforma del 18,Dr. Budán / Prof. Villarreal / Prof. Valdez
PUI,Fundamentos de la Programación,Com 1,Lunes,14:00,16:00,Teórica,Aula 23 - Pab. Reforma del 18,Prof. Silvina Unzaga
PUI,Fundamentos de la Programación,Com 1,Martes,17:00,20:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. Claudia Ávila
PUI,Fundamentos de la Programación,Com 2,Miércoles,13:00,16:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Carlos Vega
PUI,Fundamentos de la Programación,Com 3,Viernes,13:00,15:00,Teórica,Aula 23 - Pab. Reforma del 18,Prof. Carmen Silva
PUI,Fundamentos de la Programación,Com 3,Viernes,15:00,18:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Carlos Galván
PUI,Elementos de Álgebra (Anual),Com 1,Jueves,19:00,21:00,Teórica,Aula 16 - Pab. Reforma del 18,Ing. Cordero Ricardo
PUI,Elementos de Álgebra (Anual),Com 1,Viernes,19:00,21:00,Práctica,Aula 16 - Pab. Reforma del 18,Prof. Torres Walter
PUI,Elementos de Álgebra (Anual),Com 2,Lunes,8:00,10:00,Teórica,Aula 28 - Pab. Reforma del 18,Ing. Cordero Ricardo
PUI,Elementos de Álgebra (Anual),Com 2,Jueves,8:00,10:00,Práctica,Aula 28 - Pab. Reforma del 18,Prof. Valeria Elías
PUI,Lógica,Com 1,Lunes,16:00,18:00,Teórico,Aula 23 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PUI,Lógica,Com 1,Miércoles,16:00,18:00,Práctica,Aula 23 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PUI,Lógica,Com 2,Miércoles,8:00,10:00,Teórico,Aula 24 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PUI,Lógica,Com 2,Viernes,8:00,10:00,Práctica,Aula 28 - Pab. Reforma del 18,Prof. Villarreal / Prof. Chávez
PUI,Inglés I (PUI),Com Mañana,Lunes,10:00,12:30,Teórico-Práctica,Aula 22 - Pab. Reforma del 18,
PUI,Inglés I (PUI),Com Mañana,Miércoles,10:00,12:30,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,
PUI,Inglés I (PUI),Com Tarde,Martes,14:30,17:00,Teórico-Práctica,Aula 16 - Pab. Reforma del 18,
PUI,Inglés I (PUI),Com Tarde,Jueves,14:30,17:00,Teórico-Práctica,Aula 23 - Pab. Reforma del 18,
PUI,Laboratorio I,Com 1,Miércoles,18:00,20:00,Teórica,Lab. Alfa - Pab. Laboratorios N°2,Prof. Carmen Silva
PUI,Laboratorio I,Com 1,Lunes,18:00,20:00,Práctica,Lab. Alfa - Pab. Laboratorios N°2,Ing. Aldo Roldán
PUI,Laboratorio I,Com 2,Jueves,10:00,12:00,Teórica,Lab. Alfa - Pab. Laboratorios N°2,Prof. Gregorio Tkachuk
PUI,Laboratorio I,Com 2,Jueves,12:00,14:00,Práctica,Lab. Alfa - Pab. Laboratorios N°2,Prof. Claudia Ávila
PUI,Laboratorio I,Com 3,Viernes,10:00,12:00,Teórica,Lab. Alfa - Pab. Laboratorios N°2,Prof. Carmen Silva
PUI,Laboratorio I,Com 3,Martes,20:00,22:00,Práctica,Lab. Alfa - Pab. Laboratorios N°2,Prof. Adrián Belloumini
PUI,Organización del Computador,Única,Miércoles,13:00,15:00,Teórica,Aula 26 - Pab. Reforma del 18,Prof. Mabel Sosa
PUI,Organización del Computador,Única,Jueves,18:00,21:00,Práctica,Aula 25 - Pab. Reforma del 18,Prof. Germán Lescano
IC,Álgebra y Geometría Analítica,Com 1,Lunes,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Ariel Gerez
IC,Álgebra y Geometría Analítica,Com 1,Miércoles,17:00,19:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Ing. Cristian Romano
IC,Álgebra y Geometría Analítica,Com 2,Lunes,8:00,10:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Viviana Ledda
IC,Álgebra y Geometría Analítica,Com 2,Viernes,8:00,10:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Cristian Benites
IC,Álgebra y Geometría Analítica,Com 3,Miércoles,19:00,21:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Bettiana Rafael
IC,Álgebra y Geometría Analítica,Com 3,Viernes,16:00,18:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Bettiana Rafael
IC,Álgebra y Geometría Analítica,Com 4,Lunes,10:00,12:00,Teórico/Práctica,Aula 26 - Pab. Reforma del 18,Prof. Cristina Basualdo
